frame_number,timestamp_s,ball_detected,x_center,y_center,is_interpolated,confidence
1,0.0000,1,307.40,725.17,0,0.086
2,0.0400,0,-1.00,-1.00,0,0.000
3,0.0800,1,1434.65,578.89,0,0.131
4,0.1200,1,1432.68,579.78,0,0.104
5,0.1600,1,1432.80,580.55,0,0.065
6,0.2000,1,1432.92,581.28,1,0.000
7,0.2400,1,1433.03,581.93,1,0.000
8,0.2800,1,1433.12,582.52,1,0.000
9,0.3200,1,1433.21,583.04,1,0.000
10,0.3600,1,1433.28,583.51,1,0.000
11,0.4000,1,1433.35,583.93,1,0.000
12,0.4400,1,1433.41,584.29,1,0.000
13,0.4800,1,1433.46,584.62,1,0.000
14,0.5200,1,1433.51,584.90,1,0.000
15,0.5600,1,1433.55,585.14,1,0.000
16,0.6000,1,1433.58,585.34,1,0.000
17,0.6400,1,1433.61,585.52,1,0.000
18,0.6800,1,1433.63,585.66,1,0.000
19,0.7200,1,1433.65,585.78,1,0.000
20,0.7600,1,1433.67,585.87,1,0.000
21,0.8000,0,-1.00,-1.00,0,0.000
22,0.8400,0,-1.00,-1.00,0,0.000
23,0.8800,0,-1.00,-1.00,0,0.000
24,0.9200,1,665.98,628.58,0,0.061
25,0.9600,1,668.81,631.13,0,0.050
26,1.0000,1,671.49,633.54,1,0.000
27,1.0400,1,673.91,635.72,1,0.000
28,1.0800,1,676.08,637.67,1,0.000
29,1.1200,1,678.01,639.41,1,0.000
30,1.1600,1,679.74,640.96,1,0.000
31,1.2000,1,681.27,642.34,1,0.000
32,1.2400,1,1326.63,820.46,0,0.170
33,1.2800,1,1329.83,822.87,0,0.480
34,1.3200,1,1331.45,823.97,0,0.423
35,1.3600,1,1333.44,825.17,0,0.373
36,1.4000,1,1330.60,828.07,0,0.211
37,1.4400,1,1333.06,827.91,0,0.184
38,1.4800,1,1332.44,828.78,0,0.414
39,1.5200,1,1331.82,830.23,0,0.540
40,1.5600,1,1329.82,832.45,0,0.447
