frame_number,timestamp_s,possession_team,closest_player_id,closest_distance_m,team_A_pct,team_B_pct
1,0.0000,None,5,0.91,0.00,0.00
2,0.0400,None,-1,-1,0.00,0.00
3,0.0800,None,1,1.15,0.00,0.00
4,0.1200,None,1,1.17,0.00,0.00
5,0.1600,Team B,1,1.14,0.00,100.00
6,0.2000,Team B,1,1.14,0.00,100.00
7,0.2400,Team B,1,1.15,0.00,100.00
8,0.2800,Team B,1,1.25,0.00,100.00
9,0.3200,Team B,1,1.26,0.00,100.00
10,0.3600,Team B,1,1.29,0.00,100.00
11,0.4000,Team B,1,1.36,0.00,100.00
12,0.4400,Team B,1,1.41,0.00,100.00
13,0.4800,Team B,1,1.49,0.00,100.00
14,0.5200,Team B,1,1.63,0.00,100.00
15,0.5600,Team B,1,1.79,0.00,100.00
16,0.6000,Team B,1,1.89,0.00,100.00
17,0.6400,Team A,1,1.99,7.69,92.31
18,0.6800,Team A,1,2.18,14.29,85.71
19,0.7200,Team A,1,2.33,20.00,80.00
20,0.7600,Team A,1,2.47,25.00,75.00
21,0.8000,Team A,-1,-1,29.41,70.59
22,0.8400,Team A,-1,-1,33.33,66.67
23,0.8800,Team A,-1,-1,36.84,63.16
24,0.9200,Team A,3,1.61,40.00,60.00
25,0.9600,Team A,3,1.69,42.86,57.14
26,1.0000,Team B,3,1.79,40.91,59.09
27,1.0400,Team B,3,1.88,39.13,60.87
28,1.0800,Team B,3,1.96,37.50,62.50
29,1.1200,Team B,3,2.04,36.00,64.00
30,1.1600,Team B,3,2.16,34.62,65.38
31,1.2000,Team B,3,2.32,33.33,66.67
32,1.2400,Team B,2,0.67,32.14,67.86
33,1.2800,Team B,2,0.73,31.03,68.97
34,1.3200,Team A,2,0.84,33.33,66.67
35,1.3600,Team A,2,0.99,35.48,64.52
36,1.4000,Team A,2,1.01,37.50,62.50
37,1.4400,Team A,2,1.18,39.39,60.61
38,1.4800,Team A,2,1.27,41.18,58.82
39,1.5200,Team A,2,1.24,42.86,57.14
40,1.5600,Team A,2,1.20,44.44,55.56
41,1.6000,Team A,2,1.20,45.95,54.05
42,1.6400,Team A,2,1.23,47.37,52.63
43,1.6800,Team A,2,1.18,48.72,51.28
44,1.7200,Team A,2,1.08,50.00,50.00
45,1.7600,Team A,2,0.90,51.22,48.78
46,1.8000,Team A,2,0.85,52.38,47.62
47,1.8400,Team A,1,3.41,53.49,46.51
48,1.8800,Team A,1,2.37,54.55,45.45
49,1.9200,Team A,1,2.16,55.56,44.44
50,1.9600,Team A,1,2.84,56.52,43.48
51,2.0000,Team A,69,3.57,57.45,42.55
52,2.0400,Team A,1,1.48,58.33,41.67
53,2.0800,Team A,1,1.58,59.18,40.82
54,2.1200,Team A,1,2.14,60.00,40.00
55,2.1600,Team A,1,2.86,60.78,39.22
56,2.2000,Team A,7,3.26,61.54,38.46
57,2.2400,Team A,7,2.93,62.26,37.74
58,2.2800,Team A,7,2.75,62.96,37.04
59,2.3200,Team A,7,2.79,63.64,36.36
60,2.3600,Team A,7,3.00,64.29,35.71
61,2.4000,Team A,7,3.34,64.91,35.09
62,2.4400,Team A,48,3.71,65.52,34.48
63,2.4800,Team A,48,3.59,66.10,33.90
64,2.5200,Team A,48,3.69,66.67,33.33
65,2.5600,Team A,48,3.89,67.21,32.79
66,2.6000,Team A,7,4.65,67.74,32.26
67,2.6400,Team A,7,4.86,68.25,31.75
68,2.6800,Team A,7,5.00,68.75,31.25
69,2.7200,Team A,15,5.25,69.23,30.77
70,2.7600,Team A,7,5.19,69.70,30.30
71,2.8000,Team A,7,5.15,70.15,29.85
72,2.8400,Team A,7,5.14,70.59,29.41
73,2.8800,Team A,7,5.18,71.01,28.99
74,2.9200,Team A,7,4.85,71.43,28.57
75,2.9600,Team A,7,4.79,71.83,28.17
76,3.0000,Team A,7,4.61,72.22,27.78
77,3.0400,Team A,7,4.61,72.60,27.40
78,3.0800,Team A,7,4.96,72.97,27.03
79,3.1200,Team A,7,5.57,73.33,26.67
80,3.1600,Team A,8,5.16,73.68,26.32
81,3.2000,Team A,8,4.18,74.03,25.97
82,3.2400,Team A,8,3.37,74.36,25.64
83,3.2800,Team A,8,2.42,74.68,25.32
84,3.3200,Team A,8,0.87,75.00,25.00
85,3.3600,Team B,8,0.45,74.07,25.93
86,3.4000,Team B,8,1.14,73.17,26.83
87,3.4400,Team B,8,1.73,72.29,27.71
88,3.4800,Team B,8,2.31,71.43,28.57
89,3.5200,Team B,8,2.82,70.59,29.41
90,3.5600,Team B,8,3.34,69.77,30.23
91,3.6000,Team B,8,3.97,68.97,31.03
92,3.6400,Team B,8,4.53,68.18,31.82
93,3.6800,Team B,8,2.00,67.42,32.58
94,3.7200,Team B,8,2.00,66.67,33.33
95,3.7600,Team B,8,1.98,65.93,34.07
96,3.8000,Team B,8,1.41,65.22,34.78
97,3.8400,Team B,8,1.32,64.52,35.48
98,3.8800,Team B,8,1.24,63.83,36.17
99,3.9200,Team B,8,1.15,63.16,36.84
100,3.9600,Team B,8,1.11,62.50,37.50
101,4.0000,Team B,8,1.08,61.86,38.14
102,4.0400,Team B,8,0.87,61.22,38.78
103,4.0800,Team B,8,2.14,60.61,39.39
104,4.1200,Team B,8,2.37,60.00,40.00
105,4.1600,Team B,8,2.51,59.41,40.59
106,4.2000,Team B,8,2.65,58.82,41.18
107,4.2400,Team B,8,2.81,58.25,41.75
108,4.2800,Team B,8,3.18,57.69,42.31
109,4.3200,Team B,8,3.48,57.14,42.86
110,4.3600,Team B,8,3.91,56.60,43.40
111,4.4000,Team B,8,4.29,56.07,43.93
112,4.4400,Team B,7,3.83,55.56,44.44
113,4.4800,Team B,7,3.53,55.05,44.95
114,4.5200,Team B,7,3.33,54.55,45.45
115,4.5600,Team B,7,3.02,54.05,45.95
116,4.6000,Team B,7,2.58,53.57,46.43
117,4.6400,Team B,7,2.23,53.10,46.90
118,4.6800,Team B,7,1.80,52.63,47.37
119,4.7200,Team B,7,1.38,52.17,47.83
120,4.7600,Team B,8,0.62,51.72,48.28
121,4.8000,Team B,2,2.10,51.28,48.72
122,4.8400,Team B,2,8.22,50.85,49.15
123,4.8800,Team B,7,0.50,50.42,49.58
