start_frame,end_frame,from_player,to_player,from_team,to_team,event_type
1,3,5,1,Team B,Team A,Turnover
20,24,1,3,Team A,Team B,Turnover
31,32,3,2,Team B,Team B,Pass
46,48,2,1,Team B,Team A,Turnover
54,83,1,8,Team A,Team B,Turnover
104,117,8,7,Team B,Team B,Pass
119,120,7,8,Team B,Team B,Pass
120,121,8,2,Team B,Team B,Pass
121,123,2,7,Team B,Team B,Pass
149,150,7,145,Team B,Team B,Pass
150,153,145,7,Team B,Team B,Pass
160,186,7,6,Team B,Team B,Pass
240,241,6,2,Team B,Team B,Pass
241,282,2,7,Team B,Team B,Pass
285,286,7,6,Team B,Team B,Pass
291,292,6,7,Team B,Team B,Pass
295,303,7,428,Team B,Team A,Turnover
310,312,428,69,Team A,Team A,Pass
327,340,69,6,Team A,Team B,Turnover
346,347,6,477,Team B,Team B,Pass
347,348,477,6,Team B,Team B,Pass
413,430,6,363,Team B,Team B,Pass
439,440,363,89,Team B,Team B,Pass
440,442,89,363,Team B,Team B,Pass
456,478,363,6,Team B,Team B,Pass
478,492,6,361,Team B,Team B,Pass
528,529,361,6,Team B,Team B,Pass
529,530,6,495,Team B,Team A,Turnover
530,546,495,361,Team A,Team B,Turnover
547,549,361,6,Team B,Team B,Pass
549,551,6,361,Team B,Team B,Pass
565,566,361,495,Team B,Team A,Turnover
571,572,495,89,Team A,Team B,Turnover
573,575,89,591,Team B,Team B,Pass
582,583,591,495,Team B,Team A,Turnover
585,586,495,591,Team A,Team B,Turnover
586,593,591,495,Team B,Team A,Turnover
593,594,495,591,Team A,Team B,Turnover
594,605,591,521,Team B,Team A,Turnover
610,611,521,428,Team A,Team A,Pass
615,621,428,660,Team A,Team B,Turnover
621,622,660,428,Team B,Team A,Turnover
622,625,428,660,Team A,Team B,Turnover
626,634,660,688,Team B,Team A,Turnover
639,648,688,521,Team A,Team A,Pass
648,660,521,688,Team A,Team A,Pass
666,669,688,521,Team A,Team A,Pass
683,696,521,706,Team A,Team B,Turnover
696,698,706,581,Team B,Team A,Turnover
698,703,581,706,Team A,Team B,Turnover
713,724,706,688,Team B,Team A,Turnover
725,726,688,69,Team A,Team A,Pass
727,728,69,719,Team A,Team B,Turnover
