track_id,team_label,time_visible_s,distance_covered_m,avg_speed_kmh,max_speed_kmh,passes_made
8,Team B,21.6,82.09,13.68,40.78,2
69,Team A,27.48,73.78,9.67,33.43,0
15,Team B,11.96,65.81,19.81,39.5,0
7,Team B,14.6,62.75,15.47,32.59,4
340,Team A,15.36,52.34,12.27,33.18,0
89,Team B,19.68,48.73,8.91,27.73,2
428,Team A,12.12,43.36,12.88,38.44,1
6,Team B,16.16,42.95,9.57,35.09,6
348,Team B,11.44,42.26,13.3,40.19,0
362,Team B,7.88,38.8,17.73,38.96,0
361,Team B,12.2,36.29,10.71,33.37,2
337,Team B,8.96,36.26,14.57,26.47,0
521,Team A,10.96,36.19,11.89,37.24,2
82,Team B,8.52,33.53,14.17,29.65,0
495,Team A,14.84,33.23,8.06,25.13,0
2,Team B,11.12,32.63,10.56,33.43,2
363,Team B,12.88,30.26,8.46,20.11,2
11,Referee,6.92,28.95,15.06,29.52,0
504,Team B,14.2,28.73,7.28,20.13,0
384,Referee,5.68,26.88,17.03,41.6,0
60,Team A,8.24,25.83,11.28,30.67,0
130,Team B,3.8,25.15,23.82,35.75,0
48,Team A,7.24,24.46,12.16,29.72,0
536,Referee,8.36,23.36,10.06,31.41,0
140,Team A,6.12,23.23,13.66,24.27,0
66,Team A,4.96,20.17,14.64,37.79,0
3,Team B,4.6,20.15,15.77,32.77,1
139,Team B,5.76,18.62,11.64,23.25,0
676,Team A,4.64,18.32,14.21,31.69,0
137,Team B,4.48,17.98,14.45,21.73,0
364,Team B,2.52,16.75,23.92,29.78,0
581,Team A,7.04,16.54,8.46,16.11,0
166,Team A,4.04,16.22,14.45,28.11,0
706,Team B,3.28,15.62,17.14,23.22,0
584,Team B,1.92,15.29,28.67,42.58,0
694,Team B,4.44,14.91,12.09,21.4,0
13,Team B,2.4,14.26,21.39,35.02,0
612,Team B,5.96,13.95,8.43,28.67,0
4,Team B,2.0,13.51,24.32,32.04,0
1,Team A,3.32,12.85,13.94,23.43,0
46,Staff/GK,1.76,12.1,24.74,38.16,0
28,Team B,2.12,12.03,20.42,33.68,0
613,Team A,6.4,12.0,6.75,14.46,0
688,Team A,4.68,10.55,8.12,28.01,3
355,Team B,1.6,10.27,23.11,34.16,0
142,Team B,2.36,10.01,15.27,31.67,0
189,Team B,1.64,9.83,21.58,41.88,0
110,Staff/GK,1.72,9.65,20.19,27.62,0
59,Team B,2.52,9.4,13.43,30.11,0
216,Team B,2.16,7.63,12.71,30.64,0
14,Team B,1.44,7.37,18.43,33.64,0
527,Team B,2.96,7.32,8.9,22.47,0
482,Team B,2.12,7.0,11.88,23.36,0
659,Team B,1.2,6.87,20.6,28.22,0
206,Team B,2.68,6.59,8.86,13.62,0
223,Referee,1.64,6.22,13.65,28.13,0
5,Team B,1.64,6.0,13.18,18.97,0
591,Team B,1.4,4.63,11.91,20.31,0
9,Team B,1.04,4.32,14.94,29.2,0
517,Team B,1.16,4.24,13.16,19.57,0
117,Team B,1.52,4.02,9.53,18.17,0
583,Team A,1.56,3.71,8.55,18.0,0
260,Team B,1.2,3.61,10.83,16.37,0
292,Team A,1.6,3.32,7.46,15.1,0
721,Team A,1.68,3.05,6.54,18.04,0
