frame_number,Team A_width_m,Team A_depth_m,Team B_width_m,Team B_depth_m
1,0.0,0.0,37.51,23.56
2,0.0,0.0,37.63,23.54
3,0.0,0.0,37.55,23.46
4,0.0,0.0,37.5,22.95
5,0.0,0.0,37.72,23.52
6,0.0,0.0,39.28,23.45
7,0.0,0.0,39.29,23.43
8,0.0,0.0,37.79,23.33
9,0.0,0.0,25.74,23.92
10,0.0,0.0,25.92,23.62
11,0.0,0.0,26.13,23.38
12,0.0,0.0,26.17,23.42
13,0.0,0.0,26.12,23.61
14,0.0,0.0,26.13,23.55
15,0.0,0.0,26.07,23.37
16,0.0,0.0,26.12,23.64
17,0.0,0.0,26.18,23.72
18,0.0,0.0,26.34,23.21
19,0.0,0.0,26.41,23.18
20,0.0,0.0,26.34,22.98
21,0.0,0.0,26.24,22.88
22,0.0,0.0,26.16,22.83
23,0.0,0.0,25.98,22.96
24,0.0,0.0,25.98,23.08
25,0.0,0.0,25.88,22.12
26,0.0,0.0,26.04,22.54
27,0.0,0.0,25.75,23.14
28,0.0,0.0,26.03,22.96
29,0.0,0.0,25.79,19.85
30,0.0,0.0,25.7,22.84
31,0.0,0.0,25.54,22.92
32,0.0,0.0,26.07,22.61
33,0.0,0.0,26.45,22.31
34,0.0,0.0,26.4,22.19
35,17.06,5.74,26.35,22.1
36,17.09,5.72,26.22,22.11
37,17.21,5.76,26.21,22.31
38,20.65,9.51,26.29,22.48
39,20.7,9.51,26.26,20.44
40,17.55,5.59,26.35,22.69
41,17.69,5.48,26.47,22.74
42,17.83,5.37,26.56,18.71
43,17.91,5.25,26.58,18.9
44,17.84,5.12,26.57,17.76
45,17.82,4.88,26.58,18.02
46,17.85,4.76,26.76,18.0
47,17.92,4.62,26.77,18.04
48,17.99,4.48,26.69,18.07
49,17.86,4.33,26.67,18.05
50,17.79,4.2,26.76,17.99
51,17.84,4.1,26.54,11.84
52,17.46,4.04,26.79,11.69
53,17.64,4.03,27.04,11.55
54,17.83,4.01,27.22,11.49
55,18.03,4.0,27.02,11.38
56,18.13,4.02,26.93,11.28
57,18.14,4.03,26.92,11.2
58,18.11,4.06,27.66,11.14
