frame_number,timestamp,detection_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,bottom_center_x,bottom_center_y
1,0.000,1,person,0.8553,1437,488,1501,600,1469.0,544.0,1469.0,600.0
1,0.000,2,person,0.8018,1406,666,1474,815,1440.0,740.5,1440.0,815.0
1,0.000,3,person,0.7764,799,463,852,568,825.5,515.5,825.5,568.0
1,0.000,4,person,0.7594,459,327,496,418,477.5,372.5,477.5,418.0
1,0.000,5,person,0.7523,293,598,370,746,331.5,672.0,331.5,746.0
1,0.000,6,person,0.7025,1648,516,1702,626,1675.0,571.0,1675.0,626.0
1,0.000,7,person,0.6947,1043,427,1097,536,1070.0,481.5,1070.0,536.0
1,0.000,8,person,0.6556,840,325,899,427,869.5,376.0,869.5,427.0
1,0.000,9,person,0.6298,1169,311,1201,401,1185.0,356.0,1185.0,401.0
1,0.000,10,person,0.6159,61,250,90,335,75.5,292.5,75.5,335.0
1,0.000,11,person,0.5977,661,302,699,389,680.0,345.5,680.0,389.0
1,0.000,12,person,0.5495,1382,338,1427,452,1404.5,395.0,1404.5,452.0
1,0.000,13,person,0.5492,969,264,1024,364,996.5,314.0,996.5,364.0
1,0.000,14,person,0.5336,1519,401,1563,509,1541.0,455.0,1541.0,509.0
1,0.000,15,person,0.4949,1239,373,1303,469,1271.0,421.0,1271.0,469.0
1,0.000,16,person,0.4577,1056,426,1097,526,1076.5,476.0,1076.5,526.0
1,0.000,17,person,0.3735,1768,259,1802,339,1785.0,299.0,1785.0,339.0
1,0.000,18,person,0.3215,1523,402,1563,459,1543.0,430.5,1543.0,459.0
1,0.000,19,person,0.3094,981,269,1030,363,1005.5,316.0,1005.5,363.0
2,0.040,1,person,0.8403,1403,660,1472,817,1437.5,738.5,1437.5,817.0
2,0.040,2,person,0.8342,1429,483,1502,598,1465.5,540.5,1465.5,598.0
2,0.040,3,person,0.8304,797,467,841,566,819.0,516.5,819.0,566.0
2,0.040,4,person,0.7818,1635,514,1695,626,1665.0,570.0,1665.0,626.0
2,0.040,5,person,0.7279,295,597,363,746,329.0,671.5,329.0,746.0
2,0.040,6,person,0.7264,442,327,487,419,464.5,373.0,464.5,419.0
2,0.040,7,person,0.7029,1034,430,1091,532,1062.5,481.0,1062.5,532.0
2,0.040,8,person,0.6838,838,325,890,429,864.0,377.0,864.0,429.0
2,0.040,9,person,0.6776,1369,346,1410,449,1389.5,397.5,1389.5,449.0
2,0.040,10,person,0.5987,652,300,688,389,670.0,344.5,670.0,389.0
2,0.040,11,person,0.5574,1236,370,1293,470,1264.5,420.0,1264.5,470.0
2,0.040,12,person,0.5348,48,252,82,334,65.0,293.0,65.0,334.0
2,0.040,13,person,0.5209,1369,330,1418,451,1393.5,390.5,1393.5,451.0
2,0.040,14,person,0.4626,1513,400,1559,490,1536.0,445.0,1536.0,490.0
2,0.040,15,person,0.4436,1513,399,1558,457,1535.5,428.0,1535.5,457.0
2,0.040,16,person,0.4421,1157,315,1199,402,1178.0,358.5,1178.0,402.0
2,0.040,17,person,0.4408,1255,371,1294,469,1274.5,420.0,1274.5,469.0
2,0.040,18,person,0.4052,961,270,1004,360,982.5,315.0,982.5,360.0
2,0.040,19,person,0.3841,842,329,881,424,861.5,376.5,861.5,424.0
2,0.040,20,person,0.3144,963,270,1020,362,991.5,316.0,991.5,362.0
2,0.040,21,person,0.3009,1754,263,1786,341,1770.0,302.0,1770.0,341.0
2,0.040,22,person,0.2730,1512,410,1544,509,1528.0,459.5,1528.0,509.0
