frame_number,timestamp,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,bottom_center_x,bottom_center_y
1,0.000,1,person,0.8553,1437,488,1501,600,1469.0,544.0,1469.0,600.0
1,0.000,2,person,0.8018,1406,666,1474,815,1440.0,740.5,1440.0,815.0
1,0.000,3,person,0.7764,799,463,852,568,825.5,515.5,825.5,568.0
1,0.000,4,person,0.7594,459,327,496,418,477.5,372.5,477.5,418.0
1,0.000,5,person,0.7523,293,598,370,746,331.5,672.0,331.5,746.0
1,0.000,6,person,0.7025,1648,516,1702,626,1675.0,571.0,1675.0,626.0
1,0.000,7,person,0.6947,1043,427,1097,536,1070.0,481.5,1070.0,536.0
1,0.000,8,person,0.6556,840,325,899,427,869.5,376.0,869.5,427.0
1,0.000,9,person,0.6298,1169,311,1201,401,1185.0,356.0,1185.0,401.0
1,0.000,10,person,0.6159,61,250,90,335,75.5,292.5,75.5,335.0
1,0.000,11,person,0.5977,661,302,699,389,680.0,345.5,680.0,389.0
1,0.000,12,person,0.5495,1382,338,1427,452,1404.5,395.0,1404.5,452.0
1,0.000,13,person,0.5492,969,264,1024,364,996.5,314.0,996.5,364.0
1,0.000,14,person,0.5336,1519,401,1563,509,1541.0,455.0,1541.0,509.0
1,0.000,15,person,0.4949,1239,373,1303,469,1271.0,421.0,1271.0,469.0
1,0.000,16,person,0.4577,1056,426,1097,526,1076.5,476.0,1076.5,526.0
1,0.000,17,person,0.3735,1768,259,1802,339,1785.0,299.0,1785.0,339.0
1,0.000,18,person,0.3215,1523,402,1563,459,1543.0,430.5,1543.0,459.0
1,0.000,19,person,0.3094,981,269,1030,363,1005.5,316.0,1005.5,363.0
2,0.040,1,person,0.8342,1433,484,1498,598,1465.5,541.0,1465.5,598.0
2,0.040,2,person,0.8403,1402,661,1474,817,1438.0,739.0,1438.0,817.0
2,0.040,3,person,0.8304,795,467,845,566,820.0,516.5,820.0,566.0
2,0.040,4,person,0.7264,447,327,485,419,466.0,373.0,466.0,419.0
2,0.040,5,person,0.7279,291,597,368,746,329.5,671.5,329.5,746.0
2,0.040,6,person,0.7818,1639,514,1693,626,1666.0,570.0,1666.0,626.0
2,0.040,7,person,0.7029,1038,429,1089,533,1063.5,481.0,1063.5,533.0
2,0.040,8,person,0.6838,835,325,894,429,864.5,377.0,864.5,429.0
2,0.040,9,person,0.4421,1163,314,1195,402,1179.0,358.0,1179.0,402.0
2,0.040,10,person,0.5348,52,252,80,334,66.0,293.0,66.0,334.0
2,0.040,11,person,0.5987,652,300,691,389,671.5,344.5,671.5,389.0
2,0.040,12,person,0.5209,1371,331,1419,451,1395.0,391.0,1395.0,451.0
2,0.040,13,person,0.3144,966,269,1018,362,992.0,315.5,992.0,362.0
2,0.040,14,person,0.4626,1518,400,1556,492,1537.0,446.0,1537.0,492.0
2,0.040,15,person,0.5574,1233,371,1299,470,1266.0,420.5,1266.0,470.0
2,0.040,18,person,0.4436,1516,399,1557,458,1536.5,428.5,1536.5,458.0
3,0.080,1,person,0.8457,1432,482,1499,599,1465.5,540.5,1465.5,599.0
3,0.080,2,person,0.8432,1401,659,1473,815,1437.0,737.0,1437.0,815.0
3,0.080,3,person,0.7219,787,467,837,567,812.0,517.0,812.0,567.0
3,0.080,4,person,0.7143,439,329,476,419,457.5,374.0,457.5,419.0
3,0.080,5,person,0.7672,292,596,371,747,331.5,671.5,331.5,747.0
3,0.080,6,person,0.8969,1631,515,1686,626,1658.5,570.5,1658.5,626.0
