frame_number,timestamp_s,track_id,team_label,bbox_x1,bbox_y1,bbox_x2,bbox_y2,foot_x_px,foot_y_px,pitch_x_m,pitch_y_m
1,0.0000,1,Team B,1437,488,1501,600,1469.0,597.8,79.9480,51.8574
1,0.0000,2,Team A,1406,666,1474,815,1440.0,812.0,73.3419,60.1257
1,0.0000,3,Team B,799,463,852,568,825.5,565.9,72.0292,45.8728
1,0.0000,4,Team B,459,327,496,418,477.5,416.2,71.1276,31.2004
1,0.0000,5,Team B,293,598,370,746,331.5,743.0,62.2934,51.9493
1,0.0000,6,Team B,1648,516,1702,626,1675.0,623.8,81.7008,54.3922
1,0.0000,7,Team B,1043,427,1097,536,1070.0,533.8,76.6494,45.5269
1,0.0000,8,Team B,840,325,899,427,869.5,425.0,77.8373,35.4311
1,0.0000,9,Team B,1169,311,1201,401,1185.0,399.2,84.9452,35.6616
1,0.0000,10,Team B,61,250,90,335,75.5,333.3,65.8816,16.8869
1,0.0000,11,Referee,661,302,699,389,680.0,387.3,76.0680,29.8657
1,0.0000,12,Team B,1382,338,1427,452,1404.5,449.7,85.8532,41.9970
1,0.0000,13,Team B,969,264,1024,364,996.5,362.0,83.6220,29.9150
1,0.0000,14,Team B,1519,401,1563,509,1541.0,506.8,84.9830,47.1452
1,0.0000,15,Team B,1239,373,1303,469,1271.0,467.1,82.6869,42.3010
1,0.0000,16,Staff/GK,1768,259,1802,339,1785.0,337.4,101.6582,34.7543
2,0.0400,1,Team B,1433,484,1498,598,1465.5,595.7,79.9582,51.7849
2,0.0400,2,Team A,1402,661,1474,817,1438.0,813.9,73.2960,60.1644
2,0.0400,3,Team B,795,467,845,566,820.0,564.0,72.0005,45.7835
2,0.0400,4,Team B,447,327,485,419,466.0,417.2,70.9631,31.1991
2,0.0400,5,Team B,291,597,368,746,329.5,743.0,62.2630,51.9512
2,0.0400,6,Team B,1639,514,1693,626,1666.0,623.8,81.6250,54.3620
2,0.0400,7,Team B,1038,429,1089,533,1063.5,530.9,76.6434,45.3869
2,0.0400,8,Team B,835,325,894,429,864.5,426.9,77.7156,35.5136
2,0.0400,9,Team B,1163,314,1195,402,1179.0,400.2,84.8287,35.6857
2,0.0400,10,Team B,52,252,80,334,66.0,332.4,65.7507,16.7365
2,0.0400,11,Referee,652,300,691,389,671.5,387.2,75.9542,29.8116
2,0.0400,12,Team B,1371,345,1412,449,1391.5,446.9,85.8079,41.7958
2,0.0400,13,Team B,959,269,1010,361,984.5,359.2,83.5705,29.6369
2,0.0400,14,Team B,1518,400,1556,492,1537.0,490.2,85.4596,46.4601
2,0.0400,15,Team B,1233,371,1299,470,1266.0,468.0,82.5990,42.3185
3,0.0800,1,Team B,1432,482,1499,599,1465.5,596.7,79.9331,51.7877
3,0.0800,2,Team A,1401,659,1473,815,1437.0,811.9,73.2900,60.1505
3,0.0800,3,Team B,787,467,837,567,812.0,565.0,71.8897,45.7543
3,0.0800,4,Team B,439,329,476,419,457.5,417.2,70.7848,31.1541
3,0.0800,5,Team B,292,596,371,747,331.5,744.0,62.2413,51.9918
3,0.0800,6,Team B,1631,515,1686,626,1658.5,623.8,81.5291,54.3269
3,0.0800,7,Team B,1032,430,1083,534,1057.5,531.9,76.5532,45.3455
3,0.0800,8,Team B,827,325,885,428,856.0,425.9,77.5881,35.4442
3,0.0800,9,Team B,1155,318,1188,404,1171.5,402.3,84.6132,35.7706
3,0.0800,10,Team B,40,249,70,336,55.0,334.3,65.4981,16.7790
3,0.0800,11,Referee,645,300,683,389,664.0,387.2,75.8051,29.7440
3,0.0800,12,Team B,1359,331,1406,449,1382.5,446.6,85.6981,41.6544
3,0.0800,13,Team B,949,268,998,356,973.5,354.2,83.5889,29.0984
3,0.0800,14,Team B,1508,398,1551,503,1529.5,500.9,85.2342,46.5849
3,0.0800,15,Team B,1225,369,1291,470,1258.0,468.0,82.4755,42.2838
4,0.1200,1,Team B,1430,485,1497,601,1463.5,598.7,79.8532,51.8457
4,0.1200,2,Team A,1398,657,1468,809,1433.0,806.0,73.3340,60.0334
4,0.1200,3,Team B,778,467,827,566,802.5,564.0,71.7662,45.6703
4,0.1200,4,Team B,426,330,464,421,445.0,419.2,70.5183,31.1925
4,0.1200,5,Team B,286,598,364,749,325.0,746.0,62.1567,52.0471
4,0.1200,6,Team B,1626,517,1680,627,1653.0,624.8,81.4178,54.3246
4,0.1200,7,Team B,1028,433,1077,534,1052.5,532.0,76.4591,45.3110
4,0.1200,8,Team B,823,326,878,426,850.5,424.0,77.5160,35.2738
4,0.1200,9,Team B,1146,317,1180,404,1163.0,402.3,84.4213,35.7531
4,0.1200,10,Team B,30,250,61,337,45.5,335.3,65.2324,16.8248
4,0.1200,11,Referee,635,299,672,388,653.5,386.2,75.6339,29.5866
4,0.1200,13,Team B,939,267,988,358,963.5,356.2,83.3856,28.9591
4,0.1200,14,Team B,1501,396,1545,502,1523.0,499.9,85.1071,46.5641
4,0.1200,15,Team B,1218,369,1284,470,1251.0,468.0,82.3465,42.2348
5,0.1600,1,Team B,1425,490,1490,601,1457.5,598.8,79.7621,51.8522
5,0.1600,2,Team A,1392,658,1460,806,1426.0,803.0,73.3383,59.9211
5,0.1600,3,Team B,770,469,820,569,795.0,567.0,71.5881,45.7199
5,0.1600,4,Team B,414,331,454,424,434.0,422.1,70.2147,31.3326
5,0.1600,5,Team B,277,598,355,751,316.0,747.9,62.0301,52.0992
5,0.1600,6,Team B,1623,520,1678,627,1650.5,624.9,81.3461,54.3202
5,0.1600,7,Team B,1025,435,1074,535,1049.5,533.0,76.3603,45.3255
5,0.1600,8,Team B,815,326,870,426,842.5,424.0,77.3861,35.1612
5,0.1600,9,Team B,1136,318,1170,402,1153.0,400.3,84.2901,35.5726
5,0.1600,10,Team B,20,253,49,335,34.5,333.4,64.9906,16.5955
5,0.1600,11,Referee,627,301,663,388,645.0,386.3,75.4485,29.4750
5,0.1600,13,Team B,928,271,974,358,951.0,356.3,83.1338,28.8296
5,0.1600,14,Team B,1493,396,1536,503,1514.5,500.9,84.9387,46.5562
5,0.1600,15,Team B,1209,368,1274,469,1241.5,467.0,82.2198,42.1218
5,0.1600,12,Team B,1332,331,1377,443,1354.5,440.8,85.5489,41.1643
6,0.2000,1,Team B,1421,489,1488,602,1454.5,599.7,79.6716,51.8758
6,0.2000,2,Team A,1387,664,1455,809,1421.0,806.1,73.2577,59.9292
6,0.2000,3,Team B,759,468,812,573,785.5,570.9,71.3567,45.8484
6,0.2000,4,Team B,399,334,440,426,419.5,424.2,69.8779,31.4366
6,0.2000,5,Team B,269,599,346,751,307.5,748.0,61.9037,52.1024
6,0.2000,6,Team B,1615,519,1673,628,1644.0,625.8,81.2379,54.3250
6,0.2000,7,Team B,1018,433,1068,535,1043.0,533.0,76.2511,45.3031
6,0.2000,8,Team B,806,325,860,426,833.0,424.0,77.2174,35.0632
6,0.2000,9,Team B,1127,320,1162,405,1144.5,403.3,84.0251,35.6270
6,0.2000,10,Team B,14,253,39,320,26.5,318.7,65.0134,15.0414
6,0.2000,11,Referee,616,299,654,391,635.0,389.2,75.1644,29.5683
6,0.2000,13,Team B,916,269,963,359,939.5,357.2,82.8428,28.7726
6,0.2000,14,Team B,1486,398,1528,499,1507.0,497.0,84.9124,46.3623
6,0.2000,15,Team B,1200,370,1264,471,1232.0,469.0,82.0049,42.1229
6,0.2000,12,Team B,1320,341,1360,442,1340.0,440.0,85.3557,40.8542
7,0.2400,1,Team B,1424,491,1489,603,1456.5,600.8,79.6210,51.9269
7,0.2400,2,Team A,1380,669,1445,808,1412.5,805.2,73.1743,59.9008
7,0.2400,3,Team B,748,465,807,584,777.5,581.6,71.0094,46.2602
7,0.2400,4,Team B,386,334,429,429,407.5,427.1,69.5389,31.5953
7,0.2400,5,Team B,259,601,334,750,296.5,747.0,61.7663,52.0537
7,0.2400,6,Team B,1606,521,1665,629,1635.5,626.8,81.0980,54.3279
7,0.2400,7,Team B,1007,431,1059,539,1033.0,536.8,76.0221,45.4051
7,0.2400,8,Team B,800,325,854,428,827.0,425.9,77.0178,35.1030
7,0.2400,9,Team B,1120,321,1157,405,1138.5,403.3,83.8392,35.6130
7,0.2400,10,Team B,4,261,29,327,16.5,325.7,64.7442,15.0361
7,0.2400,11,Referee,606,301,644,393,625.0,391.2,74.8660,29.6818
