frame_id,n_gt,n_detected,tp,fp,fn,precision,recall
1,19,19,17,2,2,0.895,0.895
26,18,21,13,8,5,0.619,0.722
52,17,19,14,5,3,0.737,0.824
78,18,17,15,2,3,0.882,0.833
104,18,18,16,2,2,0.889,0.889
130,21,24,20,4,1,0.833,0.952
155,21,22,18,4,3,0.818,0.857
181,21,24,19,5,2,0.792,0.905
207,22,23,17,6,5,0.739,0.773
233,23,25,20,5,3,0.800,0.870
259,23,24,20,4,3,0.833,0.870
285,20,21,15,6,5,0.714,0.750
310,18,18,14,4,4,0.778,0.778
336,17,20,15,5,2,0.750,0.882
362,16,18,15,3,1,0.833,0.938
388,16,17,15,2,1,0.882,0.938
414,16,14,14,0,2,1.000,0.875
440,15,13,12,1,3,0.923,0.800
465,15,14,12,2,3,0.857,0.800
491,15,15,13,2,2,0.867,0.867
517,17,14,14,0,3,1.000,0.824
543,18,17,14,3,4,0.824,0.778
569,19,19,12,7,7,0.632,0.632
595,17,15,11,4,6,0.733,0.647
620,16,13,13,0,3,1.000,0.812
646,16,13,11,2,5,0.846,0.688
672,15,12,12,0,3,1.000,0.800
698,15,14,13,1,2,0.929,0.867
724,18,15,14,1,4,0.933,0.778
750,17,15,14,1,3,0.933,0.824
